DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	07:00:00	07:00:25	1985-07-13	12:00:00	12:00:25	00:12:00	00:12:25	00:04:21	00:04:46	00:00:25	London	Coldstream Guards	Introduced by Richard Skinner - Royal Salute	Arrival of Prince and Princess of Wales
1985-07-13	07:00:25	07:01:25	1985-07-13	12:00:25	12:01:25	00:12:25	00:13:25	00:04:46	00:05:46	00:01:00	London	Coldstream Guards	God Save the Queen	"Note: First six bars only, Introduced by Tommy Vance"
1985-07-13	07:01:25	07:01:47	1985-07-13	12:01:25	12:01:47	00:13:25	00:13:47	00:05:46	00:06:08	00:00:22	London	Status Quo	Introduction by Tommy Vance	
1985-07-13	07:01:47	07:05:41	1985-07-13	12:01:47	12:05:41	00:13:47	00:17:41	00:06:08	00:10:02	00:03:54	London	Status Quo	Rockin' All Over the World	
1985-07-13	07:05:41	07:10:15	1985-07-13	12:05:41	12:10:15	00:17:41	00:22:15	00:10:02	00:14:36	00:04:34	London	Status Quo	Caroline	
1985-07-13	07:10:15	07:14:49	1985-07-13	12:10:15	12:14:49	00:22:15	00:26:49	00:14:36	00:19:10	00:04:34	London	Status Quo	Don't Waste My Time	
1985-07-13	07:19:00	07:19:25	1985-07-13	12:19:00	12:19:25	00:31:00	00:31:25	00:23:21	00:23:46	00:00:25	London	The Style Council	Introduction by Tommy Vance	
1985-07-13	07:19:25	07:24:25	1985-07-13	12:19:25	12:24:25	00:31:25	00:36:25	00:23:46	00:28:46	00:05:00	London	The Style Council	You're the Best Thing	
1985-07-13	07:24:25	07:28:20	1985-07-13	12:24:25	12:28:20	00:36:25	00:40:20	00:28:46	00:32:41	00:03:55	London	The Style Council	Big Boss Groove	
1985-07-13	07:28:20	07:31:10	1985-07-13	12:28:20	12:31:10	00:40:20	00:43:10	00:32:41	00:35:31	00:02:50	London	The Style Council	Internationalists	
1985-07-13	07:31:10	07:34:46	1985-07-13	12:31:10	12:34:46	00:43:10	00:46:46	00:35:31	00:39:07	00:03:36	London	The Style Council	Walls Come Tumbling Down!	
1985-07-13	07:44:00	07:44:21	1985-07-13	12:44:00	12:44:21	00:56:00	00:56:21	00:48:21	00:48:42	00:00:21	London	The Boomtown Rats	Introduction by Tommy Vance	
1985-07-13	07:44:21	07:49:38	1985-07-13	12:44:21	12:49:38	00:56:21	01:01:38	00:48:42	00:53:59	00:05:17	London	The Boomtown Rats	I Don't Like Mondays	
1985-07-13	07:49:38	07:53:41	1985-07-13	12:49:38	12:53:41	01:01:38	01:05:41	00:53:59	00:58:02	00:04:03	London	The Boomtown Rats	Drag Me Down	
1985-07-13	07:53:41	07:59:18	1985-07-13	12:53:41	12:59:18	01:05:41	01:11:18	00:58:02	01:03:39	00:05:37	London	The Boomtown Rats	Rat Trap	
1985-07-13	08:01:00	08:01:55	1985-07-13	13:01:00	13:01:55	01:13:00	01:13:55	01:05:21	01:06:16	00:00:55	London	Adam Ant	Introduction by Harvey Goldsmith	
