DISC MP4	TRACK	ARTIST	TITLE	LOCATION	FILE	TIME START	TIME END						
1	1	---	Opening Credits	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:00:00.000	00:01:21.615						
1	2	Status Quo	Rockin' All Over the World	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:01:21.615	00:05:27.828						
1	3	Status Quo	Caroline	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:05:27.828	00:10:03.536						
1	4	Style Council	Internationalists	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:10:03.536	00:13:15.995						
1	5	Style Council	Walls Come Tumbling Down	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:13:15.995	00:16:48.007						
1	6	Boomtown Rats	I Don't Like Mondays	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:16:48.007	00:22:15.401						
1	7	Style Council	Drag Me Down	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:22:15.401	00:27:02.287						
1	8	Adam Ant	Vive Le Rock	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:27:02.287	00:30:49.114						
1	9	Ultravox	Dancing With Tears in My Eyes	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:30:49.114	00:35:41.640						
1	10	Ultravox	Vienna	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:35:41.640	00:40:30.028						
1	11	Spandau Ballet	Only When You Leave	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:40:30.028	00:46:01.359						
1	12	Spandau Ballet	True	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:46:01.359	00:52:07.391						
1	13	Elvis Costello	All You Need Is Love	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:52:07.391	00:56:00.324						
1	14	Nik Kershaw	Wouldn't It Be Good	London	Live Aid (1985) - S01E01 - Disc 1.mp4	00:56:00.324	01:01:21.511						
1	15	Sade	Your Love Is King	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:01:21.511	01:06:04.127						
1	16	Sting + Phil Collins	Roxanne	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:06:04.127	01:10:00.763						
1	17	Sting + Phil Collins	Against All Odds	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:10:00.763	01:14:06.475						
1	18	Sting + Phil Collins	Every Breath You Take	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:14:06.475	01:17:37.653						
1	19	Howard Jones	Hide & Seek	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:17:37.653	01:22:22.037						
1	20	Bryan Ferry	Slave to Love	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:22:22.037	01:26:13.835						
1	21	Bryan Ferry	Jealous Guy	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:26:13.835	01:30:27.689						
1	22	Paul Young	Do They Know It's Christmas?	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:30:27.689	01:31:55.977						
1	23	Paul Young	Come Back and Stay	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:31:55.977	01:38:33.908						
1	24	Paul Young + Alison Moyet	That's the Way Love Is	London	Live Aid (1985) - S01E01 - Disc 1.mp4	01:38:33.908	01:43:45.219						
