DATE (BST)	TIME START (BST)	TIME END (BST)	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	12:00:00	12:00:25	00:00:25	London	Coldstream Guards	Introduced by Richard Skinner - Royal Salute	Arrival of Prince and Princess of Wales
1985-07-13	12:00:25	12:01:25	00:01:00	London	Coldstream Guards	God Save the Queen	Note: First six bars only, Introduced by Tommy Vance
1985-07-13	12:01:25	12:01:47	00:00:22	London	Status Quo	Introduction by Tommy Vance	
1985-07-13	12:01:47	12:05:41	00:03:54	London	Status Quo	Rockin' All Over the World	
1985-07-13	12:05:41	12:10:15	00:04:34	London	Status Quo	Caroline	
1985-07-13	12:10:15	12:14:49	00:04:34	London	Status Quo	Don't Waste My Time	
1985-07-13	12:19:00	12:19:25	00:00:25	London	The Style Council	Introduction by Tommy Vance	
1985-07-13	12:19:25	12:24:25	00:05:00	London	The Style Council	You're the Best Thing	
1985-07-13	12:24:25	12:28:20	00:03:55	London	The Style Council	Big Boss Groove	
1985-07-13	12:28:20	12:31:10	00:02:50	London	The Style Council	Internationalists	
1985-07-13	12:31:10	12:34:46	00:03:36	London	The Style Council	Walls Come Tumbling Down!	
1985-07-13	12:44:00	12:44:21	00:00:21	London	The Boomtown Rats	Introduction by Tommy Vance	
1985-07-13	12:44:21	12:49:38	00:05:17	London	The Boomtown Rats	I Don't Like Mondays	
1985-07-13	12:49:38	12:53:41	00:04:03	London	The Boomtown Rats	Drag Me Down	
1985-07-13	12:53:41	12:59:18	00:05:37	London	The Boomtown Rats	Rat Trap	
1985-07-13	13:01:00	13:01:55	00:00:55	London	Adam Ant	Introduction by Harvey Goldsmith	
1985-07-13	13:01:55	13:05:21	00:03:26	London	Adam Ant	Vive Le Rock	
1985-07-13	13:17:00	13:19:58	00:02:58	London	Ultravox	Reap the Wild Wind	
1985-07-13	13:19:58	13:25:07	00:05:09	London	Ultravox	Dancing with Tears in My Eyes	
1985-07-13	13:25:07	13:28:56	00:03:49	London	Ultravox	One Small Day	
1985-07-13	13:28:56	13:33:42	00:04:46	London	Ultravox	Vienna	
1985-07-13	13:46:00	13:46:32	00:00:32	London	Spandau Ballet	Introduction by Andy Peebles	
1985-07-13	13:46:32	13:51:54	00:05:22	London	Spandau Ballet	Only When You Leave	
1985-07-13	13:51:54	13:56:34	00:04:40	London	Spandau Ballet	Virgin	
1985-07-13	13:56:34	14:02:27	00:05:53	London	Spandau Ballet	True	
1985-07-13	14:07:00	14:07:24	00:00:24	London	Elvis Costello	Introduction by Andy Peebles	
1985-07-13	14:07:24	14:11:06	00:03:42	London	Elvis Costello	All You Need Is Love	
1985-07-13	14:22:00	14:22:39	00:00:39	London	Nik Kershaw	Introduction by Tommy Vance	
1985-07-13	14:22:39	14:26:04	00:03:25	London	Nik Kershaw	Wide Boy	
1985-07-13	14:26:04	14:30:52	00:04:48	London	Nik Kershaw	Don Quixote	
1985-07-13	14:30:52	14:35:05	00:04:13	London	Nik Kershaw	The Riddle	
1985-07-13	14:35:05	14:40:17	00:05:12	London	Nik Kershaw	Wouldn't It Be Good	
1985-07-13	14:53:00	14:53:13	00:00:13	London	Sade	Introduction	
1985-07-13	14:53:13	14:58:48	00:05:35	London	Sade	Why Can't We Live Together	
1985-07-13	14:58:48	15:03:22	00:04:34	London	Sade	Your Love Is King	
1985-07-13	15:03:22	15:09:32	00:06:10	London	Sade	Is It a Crime?	
1985-07-13	15:18:00	15:20:26	00:02:26	London	Sting	Introduction by Noel Edmonds	
1985-07-13	15:20:26	15:24:04	00:03:38	London	Sting	Roxanne	
1985-07-13	15:24:04	15:27:21	00:03:17	London	Sting	Driven to Tears	
1985-07-13	15:27:21	15:30:46	00:03:25	London	Phil Collins	Against All Odds	
1985-07-13	15:30:46	15:35:18	00:04:32	London	Sting	Message in a Bottle	
1985-07-13	15:35:18	15:40:03	00:04:45	London	Phil Collins	In the Air Tonight	
1985-07-13	15:40:03	15:43:33	00:03:30	London	Sting + Phil Collins + Branford Marsalis	Long Long Way to Go	
1985-07-13	15:43:33	15:46:45	00:03:12	London	Sting + Phil Collins + Branford Marsalis	Every Breath You Take	
1985-07-13	15:49:00	15:49:48	00:00:48	London	Howard Jones	Introduction by Andy Peebles	
1985-07-13	15:49:48	15:53:44	00:03:56	London	Howard Jones	Hide and Seek	
1985-07-13	16:08:00	16:08:20	00:00:20	London	Bryan Ferry + David Gilmour	Introduction by Andy Peebles	
1985-07-13	16:08:20	16:12:51	00:04:31	London	Bryan Ferry + David Gilmour	Sensation	
1985-07-13	16:12:51	16:17:22	00:04:31	London	Bryan Ferry + David Gilmour	Boys and Girls	
1985-07-13	16:17:22	16:21:05	00:03:43	London	Bryan Ferry + David Gilmour	Slave to Love	
1985-07-13	16:21:05	16:25:54	00:04:49	London	Bryan Ferry + David Gilmour	Jealous Guy	
1985-07-13	16:40:00	16:41:01	00:01:01	London	Paul Young	Introduction by Andy Peebles	
1985-07-13	16:41:01	16:41:54	00:00:53	London	Paul Young	Do They Know It's Christmas?	Note: Intro Only
1985-07-13	16:41:54	16:49:04	00:07:10	London	Paul Young	Come Back and Stay	
1985-07-13	16:49:04	16:53:55	00:04:51	London	Paul Young + Alison Moyet	That's the Way Love Is	
1985-07-13	16:53:55	17:00:47	00:06:52	London	Paul Young	Everytime You Go Away	
1985-07-13	17:19:00	17:19:29	00:00:29	London	U2	Introduction (Philadelphia) by Jack Nicholson	
1985-07-13	17:19:29	17:20:10	00:00:41	London	U2	Introduction (London) by Tommy Vance	
1985-07-13	17:20:10	17:25:30	00:05:20	London	U2	Sunday Bloody Sunday	
1985-07-13	17:25:30	17:37:57	00:12:27	London	U2	Bad	Note: Included Satellite of Love - Lou Reed; Ruby Tuesday - Rolling Stones; Sympathy for the Devil - Rolling Stones; Walk on the Wild Side - Lou Reed
1985-07-13	18:00:00	18:00:20	00:00:20	London	Dire Straits + Sting	Introduction (Philadelphia) by Bill Graham	
1985-07-13	18:00:20	18:00:53	00:00:33	London	Dire Straits + Sting	Introduction (London) by Tommy Vance	
1985-07-13	18:00:53	18:08:19	00:07:26	London	Dire Straits + Sting	Money for Nothing	
1985-07-13	18:08:19	18:19:36	00:11:17	London	Dire Straits	Sultans of Swing	
1985-07-13	18:39:00	18:40:51	00:01:51	London	Griff Rhys-Jones + Mel Smith	Introduction by Andy Peebles	
1985-07-13	18:40:51	18:41:11	00:00:20	London	Griff Rhys-Jones + Mel Smith	An Old Lady is Complaining About the Noise	
1985-07-13	18:41:00	18:43:22	00:02:22	London	Queen	Bohemian Rhapsody	Note: First part only
1985-07-13	18:43:22	18:47:22	00:04:00	London	Queen	Radio Ga Ga	
1985-07-13	18:47:22	18:48:02	00:00:40	London	Queen	Interactive: Audience Call and Response	
1985-07-13	18:48:02	18:52:48	00:04:46	London	Queen	Hammer to Fall	
1985-07-13	18:52:48	18:56:25	00:03:37	London	Queen	Crazy Little Thing Called Love	
1985-07-13	18:56:25	18:57:41	00:01:16	London	Queen	We Will Rock You	
1985-07-13	18:57:41	19:01:22	00:03:41	London	Queen	We Are the Champions	
1985-07-13	19:02:00	19:02:10	00:00:10	London	David Bowie + Mick Jagger	Introduction (Philadelphia) by Chevy Chase	
1985-07-13	19:23:00	19:23:16	00:00:16	London	David Bowie	Introduction (Philadelphia) by Chevy Chase	
1985-07-13	19:23:16	19:23:26	00:00:10	London	David Bowie	Introduction (London) by Andy Peebles	
1985-07-13	19:23:26	19:27:01	00:03:35	London	David Bowie	TVC 15	
1985-07-13	19:27:01	19:30:14	00:03:13	London	David Bowie	Rebel Rebel	
1985-07-13	19:30:14	19:33:45	00:03:31	London	David Bowie	Modern Love	
1985-07-13	19:33:45	19:40:26	00:06:41	London	David Bowie	Heroes	
1985-07-13	19:40:26	19:41:07	00:00:41	London	CBC	Introduction by David Bowie	
1985-07-13	19:59:00	20:00:13	00:01:13	London	The Who	Introduction (Philadelphia) by Jack Nicholson	
1985-07-13	20:00:13	20:02:23	00:02:10	London	The Who	Introduction (London) by Tommy Vance	
1985-07-13	20:02:23	20:04:03	00:01:40	London	The Who	My Generation	Note: BBC blew a fuse. Broadcast interrupted, band kept playing
1985-07-13	20:04:03	20:07:05	00:03:02	London	The Who	Pinball Wizard	Note: BBC blew a fuse. Broadcast interrupted, band kept playing
1985-07-13	20:07:05	20:11:52	00:04:47	London	The Who	Love, Reign o'er Me	
1985-07-13	20:11:52	20:21:17	00:09:25	London	The Who	Won't Get Fooled Again	
