DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	08:51:00	08:56:00	00:05:00	Philadelphia	Bernard Watson	All I Really Want to Do	
1985-07-13	08:56:00	09:00:03	00:04:03	Philadelphia	Bernard Watson	Interview	
1985-07-13	09:01:00	09:01:46	00:00:46	Philadelphia	Joan Baez	Introduction by Bill Graham of Jack Nicholson	
1985-07-13	09:01:46	09:03:05	00:01:19	Philadelphia	Joan Baez	Introduction by Jack Nicholson	
1985-07-13	09:03:05	09:04:20	00:01:15	Philadelphia	Joan Baez	Speech	
1985-07-13	09:04:20	09:06:15	00:01:55	Philadelphia	Joan Baez	Amazing Grace	
1985-07-13	09:06:15	09:08:49	00:02:34	Philadelphia	Joan Baez	We Are the World	
1985-07-13	09:10:00	09:11:30	00:01:30	Philadelphia	The Hooters	Introduction by Bill Graham of Chevy Chase and Joe Piscopo	
1985-07-13	09:11:30	09:13:00	00:01:30	Philadelphia	The Hooters	Introduction by Chevy Chase and Joe Piscopo	
1985-07-13	09:13:00	09:17:37	00:04:37	Philadelphia	The Hooters	And We Danced	
1985-07-13	09:17:37	09:23:21	00:05:44	Philadelphia	The Hooters	All You Zombies	
1985-07-13	09:32:00	09:32:20	00:00:20	Philadelphia	Four Tops	Introduction by Chevy Chase	
1985-07-13	09:32:20	09:35:02	00:02:42	Philadelphia	Four Tops	Shake Me, Wake Me (When It's Over)	
1985-07-13	09:35:02	09:36:45	00:01:43	Philadelphia	Four Tops	Bernadette	
1985-07-13	09:36:45	09:38:05	00:01:20	Philadelphia	Four Tops	It's the Same Old Song	
1985-07-13	09:38:05	09:39:41	00:01:36	Philadelphia	Four Tops	Reach Out I'll Be There	
1985-07-13	09:39:41	09:42:09	00:02:28	Philadelphia	Four Tops	I Can't Help Myself (Sugar Pie, Honey Bunch)	
1985-07-13	09:45:00	09:45:20	00:00:20	Philadelphia	Billy Ocean	Introduction by Chevy Chase	
1985-07-13	09:45:20	09:49:28	00:04:08	Philadelphia	Billy Ocean	Caribbean Queen	
1985-07-13	09:49:28	09:53:06	00:03:38	Philadelphia	Billy Ocean	Loverboy	
1985-07-13	09:55:00	09:55:20	00:00:20	Philadelphia	Black Sabbath	Introduction by Chevy Chase	
1985-07-13	09:55:20	09:59:38	00:04:18	Philadelphia	Black Sabbath	Children of the Grave	
1985-07-13	09:59:38	10:07:22	00:07:44	Philadelphia	Black Sabbath	Iron Man	
1985-07-13	10:07:22	10:10:40	00:03:18	Philadelphia	Black Sabbath	Paranoid	
1985-07-13	10:12:00	10:12:20	00:00:20	Philadelphia	Run–D.M.C.	Introduction by Joe Piscopo	
